"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -10.11066048,      -8.699362686,      -8.656350716,      -9.214379454,      -6.445159757,               2.4,               2.4,      0.1724556322,       1.200526408,       1.233602965,                 1
           1,      -10.11088904,        -8.6993718,      -8.656360061,      -9.214384041,      -6.445141951,              2.88,              2.88,      0.1724556378,       1.200526473,       1.233603035,   1.307744449e-10
           2,      -10.11097908,      -8.699381049,      -8.656368225,      -9.214389621,      -6.445121517,             3.456,             3.456,      0.1724556446,       1.200526552,       1.233603119,   2.876478936e-10
           3,      -10.11102405,      -8.699391806,      -8.656377131,      -9.214396367,      -6.445097701,            4.1472,            4.1472,      0.1724556527,       1.200526647,        1.23360322,   4.756926795e-10
           4,      -10.11105682,      -8.699404672,      -8.656387551,      -9.214404493,       -6.44506968,           4.97664,           4.97664,      0.1724556624,        1.20052676,       1.233603341,   7.009557125e-10
           5,      -10.11108827,      -8.699420097,      -8.656399936,      -9.214414262,      -6.445036473,          5.971968,          5.971968,       0.172455674,       1.200526896,       1.233603486,   9.706894525e-10
           6,      -10.11112218,      -8.699438598,       -8.65641471,      -9.214425997,      -6.444996743,         7.1663616,         7.1663616,      0.1724556879,        1.20052706,       1.233603661,   1.293659192e-09
           7,      -10.11116032,       -8.69946082,      -8.656432363,      -9.214440089,      -6.444948691,        8.59963392,        8.59963392,      0.1724557046,       1.200527256,       1.233603869,    1.68049524e-09
           8,      -10.11120388,      -8.699487568,      -8.656453477,      -9.214457007,      -6.444890038,        10.3195607,        10.3195607,      0.1724557246,       1.200527491,        1.23360412,   2.144035013e-09
           9,      -10.11125394,      -8.699519818,      -8.656478749,      -9.214477317,      -6.444817863,       12.38347284,       12.38347284,      0.1724557486,       1.200527773,       1.233604421,   2.699716249e-09
          10,      -10.11131165,      -8.699558714,      -8.656509028,      -9.214501696,      -6.444728291,       14.86016741,       14.86016741,      0.1724557773,       1.200528111,       1.233604782,    3.36619885e-09
          11,      -10.11137821,      -8.699605549,       -8.65654536,      -9.214530957,      -6.444616196,        17.8322009,        17.8322009,      0.1724558118,       1.200528517,       1.233605214,   4.166195599e-09
          12,      -10.11145479,       -8.69966175,      -8.656589045,      -9.214566077,      -6.444474993,       21.39864108,       21.39864108,      0.1724558532,       1.200529003,       1.233605734,   5.127159527e-09
          13,      -10.11154238,      -8.699728936,       -8.65664168,      -9.214608224,      -6.444296287,       25.67836929,       25.67836929,       0.172455903,       1.200529587,       1.233606357,   6.281837845e-09
          14,      -10.11164149,      -8.699809084,      -8.656705171,      -9.214658805,      -6.444069083,       30.81404315,       30.81404315,      0.1724559628,       1.200530287,       1.233607104,   7.669682032e-09
          15,      -10.11175181,      -8.699904718,      -8.656781762,      -9.214719508,      -6.443778434,       36.97685178,       36.97685178,      0.1724560348,       1.200531128,       1.233608001,   9.339330955e-09
          16,      -10.11187208,      -8.700018954,      -8.656874117,       -9.21479236,       -6.44340346,       44.37222213,       44.37222213,      0.1724561215,       1.200532135,       1.233609076,    1.13494974e-08
          17,      -10.11199971,      -8.700155447,      -8.656985444,      -9.214879794,      -6.442914318,       53.24666656,       53.24666656,      0.1724562257,       1.200533343,       1.233610364,   1.376552762e-08
          18,      -10.11212996,      -8.700318485,      -8.657119553,      -9.214984726,      -6.442267794,       63.89599987,       63.89599987,      0.1724563502,       1.200534788,       1.233611904,   1.665321049e-08
          19,      -10.11225503,      -8.700513315,      -8.657280887,      -9.215110654,      -6.441402062,       76.67519985,       76.67519985,      0.1724564977,       1.200536515,       1.233613742,    2.00743943e-08
          20,      -10.11236258,      -8.700746399,      -8.657474625,      -9.215261782,      -6.440233388,       7.667519985,       7.667519985,       0.172456671,       1.200538578,       1.233615932,   2.409496985e-08
          21,      -10.11243162,      -8.701025545,      -8.657706803,      -9.215442815,      -6.445991453,       9.201023982,       9.201023982,      0.1724566885,       1.200538785,       1.233616152,   2.449975145e-08
          22,      -10.11289492,      -8.701057153,      -8.657736612,      -9.215460653,      -6.445919498,       11.04122878,       11.04122878,      0.1724567093,       1.200539033,       1.233616415,   2.498409099e-08
          23,       -10.1129972,      -8.701091202,      -8.657764908,      -9.215482288,      -6.445835793,       13.24947453,       13.24947453,      0.1724567342,       1.200539331,       1.233616731,    2.55614495e-08
          24,      -10.11306921,      -8.701131962,       -8.65779799,      -9.215508325,      -6.445735571,       15.89936944,       15.89936944,      0.1724567639,       1.200539688,        1.23361711,   2.624961207e-08
          25,      -10.11314187,      -8.701181127,      -8.657837339,      -9.215539601,      -6.445612503,       19.07924333,       19.07924333,      0.1724567993,       1.200540116,       1.233617564,   2.707137309e-08
          26,      -10.11322077,      -8.701240483,       -8.65788437,      -9.215577151,      -6.445458272,       22.89509199,       22.89509199,      0.1724568418,       1.200540629,       1.233618109,   2.805526228e-08
          27,      -10.11330844,      -8.701311878,      -8.657940791,      -9.215622222,      -6.445262328,       27.47411039,       27.47411039,      0.1724568927,       1.200541244,       1.233618762,   2.923636036e-08
          28,      -10.11340638,      -8.701397344,      -8.658008665,      -9.215676313,      -6.445011653,       32.96893247,       32.96893247,      0.1724569539,       1.200541983,       1.233619547,   3.065756161e-08
          29,      -10.11351497,      -8.701499464,      -8.658090408,      -9.215741228,      -6.444689578,       39.56271897,       39.56271897,      0.1724570279,       1.200542869,        1.23362049,   3.237315697e-08
          30,       -10.1136331,      -8.701621608,      -8.658188863,      -9.215819135,      -6.444273381,       47.47526276,       47.47526276,      0.1724571176,       1.200543935,       1.233621623,   3.445297617e-08
          31,      -10.11375803,      -8.701767769,        -8.6583075,      -9.215912635,      -6.443730675,       56.97031531,       56.97031531,      0.1724572265,       1.200545216,       1.233622986,   3.697977714e-08
          32,      -10.11388486,       -8.70194241,      -8.658450544,      -9.216024848,      -6.443014058,       68.36437837,       68.36437837,      0.1724573583,       1.200546755,       1.233624623,   4.003669528e-08
          33,      -10.11400499,      -8.702150861,      -8.658622895,      -9.216159519,       -6.44205478,       68.36437837,       68.36437837,       0.172457516,         1.2005486,       1.233626585,   4.369357598e-08
          34,      -10.11410332,      -8.702399915,      -8.658830064,      -9.216321122,       -6.44221819,       68.36437837,       68.36437837,      0.1724576727,       1.200550443,       1.233628544,   4.732756158e-08
          35,      -10.11433559,      -8.702650585,      -8.659038413,       -9.21648261,      -6.442383666,       68.36437837,       68.36437837,      0.1724578284,       1.200552286,       1.233630502,   5.093892531e-08
          36,      -10.11458565,      -8.702902015,       -8.65924596,      -9.216644051,      -6.442554219,       68.36437837,       68.36437837,      0.1724579838,       1.200554129,        1.23363246,   5.454443927e-08
          37,       -10.1148428,      -8.703154052,      -8.659452842,      -9.216805456,      -6.442729422,       68.36437837,       68.36437837,      0.1724581398,       1.200555974,       1.233634423,   5.816341473e-08
          38,      -10.11510562,      -8.703406511,      -8.659659319,       -9.21696683,      -6.442908483,       68.36437837,       68.36437837,       0.172458297,       1.200557823,        1.23363639,   6.180912594e-08
          39,      -10.11537314,      -8.703659222,      -8.659865588,      -9.217128177,      -6.443089848,       68.36437837,       68.36437837,      0.1724584555,       1.200559676,       1.233638364,   6.548585849e-08
          40,      -10.11564432,      -8.703912067,      -8.660071758,      -9.217289498,      -6.443271578,       68.36437837,       68.36437837,      0.1724586153,       1.200561531,       1.233640341,   6.919014427e-08
          41,      -10.11591821,      -8.704164988,      -8.660277868,      -9.217450794,      -6.443452091,       68.36437837,       68.36437837,      0.1724587758,       1.200563387,       1.233642322,   7.291395818e-08
          42,      -10.11619405,      -8.704417965,      -8.660483922,      -9.217612066,      -6.443630578,       68.36437837,       68.36437837,      0.1724589368,       1.200565243,       1.233644303,   7.664796031e-08
          43,      -10.11647121,      -8.704670998,      -8.660689914,      -9.217773315,      -6.443806935,       68.36437837,       68.36437837,      0.1724590979,       1.200567098,       1.233646284,   8.038377407e-08
          44,      -10.11674922,      -8.704924086,      -8.660895841,      -9.217934539,      -6.443981465,       68.36437837,       68.36437837,      0.1724592587,       1.200568951,       1.233648262,   8.411509927e-08
          45,      -10.11702773,      -8.705177226,      -8.661101704,      -9.218095739,      -6.444154614,       68.36437837,       68.36437837,      0.1724594193,         1.2005708,       1.233650238,   8.783790779e-08
          46,      -10.11730647,      -8.705430413,      -8.661307512,      -9.218256916,       -6.44432682,       68.36437837,       68.36437837,      0.1724595793,       1.200572647,        1.23365221,    9.15501026e-08
          47,      -10.11758522,      -8.705683636,      -8.661513277,      -9.218418069,      -6.444498447,       68.36437837,       68.36437837,      0.1724597389,       1.200574491,       1.233654179,   9.525097008e-08
          48,      -10.11786387,      -8.705936883,      -8.661719011,      -9.218579198,      -6.444669762,       68.36437837,       68.36437837,      0.1724598979,       1.200576331,       1.233656144,   9.894064024e-08
          49,      -10.11814237,      -8.706190141,      -8.661924725,      -9.218740303,      -6.444840947,       68.36437837,       68.36437837,      0.1724600566,       1.200578169,       1.233658106,   1.026196597e-07
          50,      -10.11842071,      -8.706443389,       -8.66213043,      -9.218901385,      -6.445012136,       68.36437837,       68.36437837,      0.1724602148,       1.200580003,       1.233660065,   1.062887066e-07
          51,      -10.11869894,      -8.706696608,      -8.662336135,      -9.219062444,      -6.445183429,       68.36437837,       68.36437837,      0.1724603725,       1.200581836,       1.233662021,   1.099484342e-07
          52,       -10.1189771,      -8.706949771,       -8.66254185,      -9.219223479,      -6.445354912,       68.36437837,       68.36437837,        0.17246053,       1.200583666,       1.233663975,   1.135994115e-07
          53,      -10.11925523,      -8.707202853,      -8.662747584,      -9.219384492,      -6.445526661,       68.36437837,       68.36437837,       0.172460687,       1.200585493,       1.233665926,   1.172421277e-07
          54,      -10.11953336,       -8.70745583,      -8.662953346,      -9.219545483,      -6.445698735,       68.36437837,       68.36437837,      0.1724608437,       1.200587319,       1.233667874,   1.208770251e-07
          55,      -10.11981148,      -8.707708678,      -8.663159146,      -9.219706452,       -6.44587117,       68.36437837,       68.36437837,      0.1724610001,       1.200589143,        1.23366982,   1.245045398e-07
          56,       -10.1200896,      -8.707961379,       -8.66336499,      -9.219867399,      -6.446043974,       68.36437837,       68.36437837,      0.1724611562,       1.200590965,       1.233671764,   1.281251323e-07
          57,      -10.12036769,      -8.708213923,      -8.663570883,      -9.220028326,      -6.446217123,       68.36437837,       68.36437837,      0.1724613121,       1.200592786,       1.233673706,   1.317393018e-07
          58,      -10.12064571,      -8.708466303,      -8.663776827,      -9.220189232,      -6.446390571,       68.36437837,       68.36437837,      0.1724614676,       1.200594605,       1.233675646,   1.353475847e-07
          59,      -10.12092366,      -8.708718523,      -8.663982819,      -9.220350118,      -6.446564251,       68.36437837,       68.36437837,       0.172461623,       1.200596423,       1.233677584,   1.389505404e-07
          60,       -10.1212015,      -8.708970588,      -8.664188853,      -9.220510984,      -6.446738087,       68.36437837,       68.36437837,      0.1724617781,        1.20059824,        1.23367952,   1.425487311e-07
          61,      -10.12147923,      -8.709222512,      -8.664394921,      -9.220671831,      -6.446912007,       68.36437837,       68.36437837,      0.1724619331,       1.200600055,       1.233681454,   1.461427002e-07
          62,      -10.12175685,      -8.709474311,      -8.664601013,      -9.220832658,      -6.447085943,       68.36437837,       68.36437837,      0.1724620879,       1.200601869,       1.233683387,   1.497329536e-07
          63,      -10.12203436,      -8.709726002,       -8.66480712,      -9.220993466,       -6.44725984,       68.36437837,       68.36437837,      0.1724622425,       1.200603682,       1.233685319,   1.533199452e-07
          64,      -10.12231179,      -8.709977602,      -8.665013231,      -9.221154255,      -6.447433657,       68.36437837,       68.36437837,      0.1724623971,       1.200605494,       1.233687249,   1.569040685e-07
          65,      -10.12258916,      -8.710229127,       -8.66521934,      -9.221315025,      -6.447607365,       68.36437837,       68.36437837,      0.1724625515,       1.200607304,       1.233689178,    1.60485652e-07
          66,      -10.12286651,      -8.710480593,      -8.665425442,      -9.221475774,       -6.44778095,       68.36437837,       68.36437837,      0.1724627058,       1.200609114,       1.233691105,   1.640649587e-07
          67,      -10.12314386,      -8.710732009,      -8.665631532,      -9.221636504,      -6.447954407,       68.36437837,       68.36437837,        0.17246286,       1.200610923,       1.233693032,   1.676421873e-07
          68,      -10.12342124,      -8.710983384,      -8.665837609,      -9.221797214,      -6.448127742,       68.36437837,       68.36437837,      0.1724630142,        1.20061273,       1.233694957,    1.71217476e-07
          69,      -10.12369867,      -8.711234724,      -8.666043674,      -9.221957903,      -6.448300967,       68.36437837,       68.36437837,      0.1724631683,       1.200614537,       1.233696882,   1.747909051e-07
